S.No,Title,Total.Gross,Domestic.Gross,Opening.Gross,Foreign.Gross,Theatres.Opening,Theatres.Widest,In.Theatres.wks,Genre,Runtime,MPAA.Rating,CriticRate.RT,UserRating.RT,Budget.mil,Budget,Month,Season,Franchise,Oscar.Nominated,Year
1,Night at the Museum: Secret of the Tomb,349640118,112988118,17100520,236652000,3785,3785,13.7,F,97,PG,50,60,127,1.27E+08,12,1,1,0,2014
2,Annie (2014),134611262,85911262,15861939,48700000,3116,3116,12.4,F,118,PG,28,62,65,6.50E+07,12,1,0,0,2014
3,Captain America: The Winter Soldier,714766572,259766572,95023721,455000000,3938,3938,20,A,136,PG13,89,92,170,1.70E+08,4,2,1,1,2014
4,Penguins of Madagascar,368826313,83168326,25447444,285657987,3764,3775,17,F,93,PG,72,64,132,1.32E+08,11,4,1,0,2014
5,"Alexander and the Terrible, Horrible, No Good,",100654149,66954149,18360230,33700000,3088,3117,20,F,81,PG,62,60,28,2.80E+07,10,4,0,0,2014
6,Transformers: Age of Extinction,1091405097,245439076,100003390,845966021,4233,4233,15,A,165,PG13,18,53,210,2.10E+08,6,3,1,0,2014
7,The Purge: Anarchy,96818312,71962800,29816675,24855512,2805,2856,9,H,103,R,57,58,9,9.00E+06,7,3,1,0,2014
8,Maleficent,758410378,241410378,69431298,517000000,3984,3948,27,F,97,PG,49,71,180,1.80E+08,5,2,0,1,2014
9,Guardians of the Galaxy,774176600,333176600,94320883,441000000,4080,4088,25,S,121,PG13,91,93,170,1.70E+08,8,3,0,1,2014
10,The Hunger Games: Mockingjay - Part 1,752100229,337135885,121897634,414964344,4151,4151,17,S,123,PG13,65,74,125,1.25E+08,11,4,1,0,2014
11,Non-Stop,222809600,92168600,28875635,130641000,3090,3183,13,A,110,PG13,60,64,50,5.00E+07,2,1,0,0,2014
12,The Maze Runner,340750640,102427862,32512804,238322778,3604,3638,20,S,113,PG13,63,69,34,3.40E+07,9,4,1,0,2014
13,300: Rise of An Empire,337580051,106580051,45038460,231000000,3470,3490,12,A,102,R,42,53,110,1.10E+08,3,2,1,0,2014
14,Think Like a Man Too,70181428,65182182,29241911,4999246,2225,2225,8.4,C,106,PG13,23,61,24,2.40E+07,6,3,0,0,2014
15,Unbroken,161459297,115637895,30621445,45821402,3131,3301,11.1,D,137,PG13,51,71,65,6.50E+07,12,1,0,1,2014
16,The Expendables 3,206172544,39322544,15879645,166850000,3221,3221,9,A,103,PG13,33,49,90,9.00E+07,8,3,1,0,2014
